time_seconds,particle_id,x_meters,y_meters,z_meters,mass_kg
0.0,0,4.629e+23,0.0,0.0,2.1234662531127242e+49
0.0,1,9.588201905822754e+23,0.0,0.0,2.1234662531127242e+49
0.0,2,1.8516e+24,0.0,0.0,2.1234662531127242e+49
51469361886653.99,0,4.625956897735596e+23,0.0,0.0,2.1234662531127242e+49
51469361886653.99,1,9.588201905822754e+23,0.0,0.0,2.1234662531127242e+49
51469361886653.99,2,1.8517329076385498e+24,0.0,0.0,2.1234662531127242e+49
102938723773307.98,0,4.619865984344483e+23,0.0,0.0,2.1234662531127242e+49
102938723773307.98,1,9.588201317214966e+23,0.0,0.0,2.1234662531127242e+49
102938723773307.98,2,1.8519986051940919e+24,0.0,0.0,2.1234662531127242e+49
154408085659961.97,0,4.610717547798157e+23,0.0,0.0,2.1234662531127242e+49
154408085659961.97,1,9.588200728607178e+23,0.0,0.0,2.1234662531127242e+49
154408085659961.97,2,1.8523973281097412e+24,0.0,0.0,2.1234662531127242e+49
205877447546615.97,0,4.5984971672058105e+23,0.0,0.0,2.1234662531127242e+49
205877447546615.97,1,9.58820013999939e+23,0.0,0.0,2.1234662531127242e+49
205877447546615.97,2,1.8529289586639406e+24,0.0,0.0,2.1234662531127242e+49
257346809433269.97,0,4.5831854185104374e+23,0.0,0.0,2.1234662531127242e+49
257346809433269.97,1,9.588198962783814e+23,0.0,0.0,2.1234662531127242e+49
257346809433269.97,2,1.853593614578247e+24,0.0,0.0,2.1234662531127242e+49
308816171319923.94,0,4.5647578744888304e+23,0.0,0.0,2.1234662531127242e+49
308816171319923.94,1,9.588197785568238e+23,0.0,0.0,2.1234662531127242e+49
308816171319923.94,2,1.8543912958526612e+24,0.0,0.0,2.1234662531127242e+49
360285533206577.94,0,4.543184516143799e+23,0.0,0.0,2.1234662531127242e+49
360285533206577.94,1,9.588196608352662e+23,0.0,0.0,2.1234662531127242e+49
360285533206577.94,2,1.8553221202087402e+24,0.0,0.0,2.1234662531127242e+49
411754895093231.94,0,4.518430321311951e+23,0.0,0.0,2.1234662531127242e+49
411754895093231.94,1,9.588195431137086e+23,0.0,0.0,2.1234662531127242e+49
411754895093231.94,2,1.856386205368042e+24,0.0,0.0,2.1234662531127242e+49
463224256979885.94,0,4.490453793144226e+23,0.0,0.0,2.1234662531127242e+49
463224256979885.94,1,9.588193665313721e+23,0.0,0.0,2.1234662531127242e+49
463224256979885.94,2,1.8575836690521242e+24,0.0,0.0,2.1234662531127242e+49
514693618866539.94,0,4.4592078430175784e+23,0.0,0.0,2.1234662531127242e+49
514693618866539.94,1,9.588191899490357e+23,0.0,0.0,2.1234662531127242e+49
514693618866539.94,2,1.8589147467041016e+24,0.0,0.0,2.1234662531127242e+49
