Feature,x,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,K_sync,F_pauli_x
x,0.9999999999999999,-0.9818604649636511,-0.07591193413434215,-0.1189282204891913,0.0666537450937959,0.045589757322317355,-0.11737677747167924,0.0013158457435599705,0.2196938304925864,0.04972117533847172,-0.10869176132231867,-0.0023474539470885224
r,-0.9818604649636511,1.0,0.14648002871228513,0.09634085937291552,-0.07213662308186339,-0.04944469267038338,0.1807573463671186,-0.08569577062950695,-0.19926992064497284,-0.05308133150686993,0.1787611376126512,-0.003348502271044029
hue,-0.07591193413434213,0.1464800287122851,1.0,-0.6021983514728797,-0.03341748249587624,-0.01017545697224428,0.9947133957583528,-0.9651604237259814,0.36530589880172737,-0.03751080543916996,0.9977298778613608,0.018144407552576045
gamma,-0.1189282204891913,0.09634085937291552,-0.6021983514728797,1.0,-0.030564820586381138,-0.025196703456609338,-0.6274415274337005,0.4888228029264247,-0.45515976891879806,-0.0195379255994856,-0.5792544467568956,-0.014711275141394075
1/r^3,0.0666537450937959,-0.0721366230818634,-0.03341748249587624,-0.03056482058638114,0.9999999999999999,0.7189005402187234,-0.03358691711987105,0.032153003130625156,0.006524421051310944,0.6898127713615089,-0.034285226911576844,-0.0016221754296747689
1/r^2,0.045589757322317355,-0.049444692670383386,-0.01017545697224428,-0.025196703456609338,0.7189005402187234,1.0,-0.007917122562664556,0.018063654367099464,0.018687141462389992,0.009678374796236058,-0.012448785645697003,-0.0012474050237212572
sin(hue),-0.11737677747167924,0.1807573463671186,0.9947133957583528,-0.6274415274337005,-0.03358691711987105,-0.007917122562664554,1.0,-0.9338659357250134,0.3547179616567166,-0.039830870954943594,0.9929347849058505,0.02187016946142422
cos(hue),0.0013158457435599705,-0.08569577062950695,-0.9651604237259814,0.48882280292642477,0.032153003130625156,0.018063654367099467,-0.9338659357250134,0.9999999999999999,-0.3634508791497715,0.028367988551872243,-0.9643752714878125,-0.005921836660831517
m0/gamma,0.2196938304925864,-0.19926992064497287,0.36530589880172737,-0.4551597689187981,0.006524421051310945,0.018687141462389992,0.3547179616567166,-0.3634508791497715,0.9999999999999999,-0.0068105303718030965,0.35507034582626296,0.019053798163860453
x/r^3,0.04972117533847172,-0.05308133150686994,-0.03751080543916996,-0.019537925599485605,0.6898127713615089,0.009678374796236058,-0.039830870954943594,0.028367988551872243,-0.0068105303718030965,1.0,-0.03672511179990704,-0.0010917227073631666
K_sync,-0.10869176132231867,0.17876113761265122,0.9977298778613608,-0.5792544467568956,-0.034285226911576844,-0.012448785645697001,0.9929347849058505,-0.9643752714878127,0.35507034582626296,-0.03672511179990704,1.0,0.01953302960923214
F_pauli_x,-0.0023474539470885224,-0.0033485022710440285,0.018144407552576045,-0.014711275141394075,-0.0016221754296747689,-0.0012474050237212572,0.02187016946142422,-0.005921836660831517,0.019053798163860457,-0.0010917227073631666,0.01953302960923214,1.0
