tick,particle_id,x,y,z,mass
0,0,15.0,0.0,0.0,0.5109999775886536
0,1,31.06999969482422,0.0,0.0,0.5109999775886536
0,2,60.0,0.0,0.0,0.5109999775886536
1,0,14.99013900756836,0.0,0.0,0.5109999775886536
1,1,31.06999969482422,0.0,0.0,0.5109999775886536
1,2,60.00430679321289,0.0,0.0,0.5109999775886536
2,0,14.970401763916016,0.0,0.0,0.5109999775886536
2,1,31.069997787475586,0.0,0.0,0.5109999775886536
2,2,60.012916564941406,0.0,0.0,0.5109999775886536
3,0,14.940756797790527,0.0,0.0,0.5109999775886536
3,1,31.069995880126953,0.0,0.0,0.5109999775886536
3,2,60.02583694458008,0.0,0.0,0.5109999775886536
4,0,14.90115737915039,0.0,0.0,0.5109999775886536
4,1,31.06999397277832,0.0,0.0,0.5109999775886536
4,2,60.04306411743164,0.0,0.0,0.5109999775886536
5,0,14.851540565490723,0.0,0.0,0.5109999775886536
5,1,31.069990158081055,0.0,0.0,0.5109999775886536
5,2,60.06460189819336,0.0,0.0,0.5109999775886536
6,0,14.791827201843262,0.0,0.0,0.5109999775886536
6,1,31.06998634338379,0.0,0.0,0.5109999775886536
6,2,60.090450286865234,0.0,0.0,0.5109999775886536
7,0,14.721920013427734,0.0,0.0,0.5109999775886536
7,1,31.069982528686523,0.0,0.0,0.5109999775886536
7,2,60.12061309814453,0.0,0.0,0.5109999775886536
8,0,14.641705513000488,0.0,0.0,0.5109999775886536
8,1,31.069978713989258,0.0,0.0,0.5109999775886536
8,2,60.155094146728516,0.0,0.0,0.5109999775886536
9,0,14.55104923248291,0.0,0.0,0.5109999775886536
9,1,31.06997299194336,0.0,0.0,0.5109999775886536
9,2,60.19389724731445,0.0,0.0,0.5109999775886536
10,0,14.449798583984375,0.0,0.0,0.5109999775886536
10,1,31.06996726989746,0.0,0.0,0.5109999775886536
10,2,60.237030029296875,0.0,0.0,0.5109999775886536
