Feature,x,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,K_sync,F_pauli_x
x,1.0,0.5279430874267889,0.732669954913625,-0.6815787793896125,-0.0345447294792628,-0.04910663335353403,-0.20957074873431164,-0.806941260783225,0.6395428481805188,0.0025220348897506168,0.08945243219623121,0.01817991960101598
r,0.5279430874267889,1.0,0.42609883008640737,-0.17355596919187793,-0.09476194653106662,-0.13404044247917976,-0.36878933327747526,-0.52217461300695,0.3189331400082488,0.004204762202703209,-0.11125073693249364,0.07921639620888654
hue,0.732669954913625,0.42609883008640737,1.0,-0.601501356379297,-0.05250979853212478,-0.06565051513355234,-0.6158955950211442,-0.7500645038883399,0.5719028591553722,0.017787155803299117,-0.35050934507242726,0.061351214307696
gamma,-0.6815787793896125,-0.17355596919187793,-0.601501356379297,0.9999999999999998,-0.008283967269004973,-0.014715527373146239,0.017033871887557388,0.580055756300385,-0.7788525568299712,-0.014620206795879286,-0.15041411632196372,-0.0038135504136873155
1/r^3,-0.0345447294792628,-0.09476194653106662,-0.05250979853212478,-0.008283967269004974,1.0,0.9751009033685983,0.02939642518566293,0.05144762427035328,-0.019816174235211693,-0.2482086838557133,0.00935496972250844,0.00076826245040867
1/r^2,-0.04910663335353404,-0.13404044247917976,-0.06565051513355234,-0.014715527373146239,0.9751009033685984,0.9999999999999999,0.04898742550754945,0.05955949288878399,-0.01989751696814889,-0.17569110308639324,0.02415312754366473,-0.0014755246853819755
sin(hue),-0.20957074873431167,-0.36878933327747526,-0.6158955950211442,0.017033871887557388,0.02939642518566293,0.04898742550754945,0.9999999999999998,0.12338790314038971,-0.13569023793861273,0.02396624645136253,0.9187107878025748,-0.04510845707541668
cos(hue),-0.8069412607832251,-0.5221746130069501,-0.7500645038883398,0.5800557563003849,0.05144762427035327,0.05955949288878399,0.12338790314038971,1.0,-0.5064237608201534,-0.020351800519973335,-0.26305209972387456,-0.04855951362190406
m0/gamma,0.6395428481805188,0.3189331400082488,0.5719028591553721,-0.7788525568299711,-0.019816174235211693,-0.019897516968148888,-0.13569023793861276,-0.5064237608201534,1.0,0.02437162389735011,0.025608033266383248,0.05966124000710896
x/r^3,0.0025220348897506163,0.004204762202703209,0.017787155803299117,-0.014620206795879286,-0.24820868385571332,-0.1756911030863932,0.02396624645136253,-0.02035180051997333,0.024371623897350113,1.0,0.02667305579221102,-0.005935882912433817
K_sync,0.08945243219623122,-0.11125073693249363,-0.35050934507242726,-0.15041411632196372,0.009354969722508441,0.02415312754366473,0.9187107878025748,-0.26305209972387456,0.025608033266383248,0.02667305579221102,0.9999999999999999,-0.021910594126929958
F_pauli_x,0.01817991960101598,0.07921639620888654,0.061351214307696,-0.003813550413687315,0.0007682624504086701,-0.0014755246853819758,-0.04510845707541668,-0.04855951362190406,0.05966124000710896,-0.005935882912433817,-0.021910594126929958,1.0
