Feature,x,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,K_sync,F_pauli_x
x,1.0,-0.886639320906488,-0.035279767174142364,-0.024814371668060723,0.04445341325607137,0.049114984286531244,-0.031660824132127244,0.05385955264475972,-0.0451920369469059,-0.009342389985339629,-0.2042360821460884,-0.01209416036507027
r,-0.886639320906488,1.0,-0.024652966569264242,-0.15132021292174133,-0.07386551772092788,-0.08135370350992971,-0.026547254258537878,0.01770633144191718,0.18222420824889546,0.016347646380815786,0.20168908255632592,0.016614965404422765
hue,-0.035279767174142364,-0.024652966569264242,1.0,-0.6847302121755756,-0.0365964989521972,-0.0358089423744547,0.9989178631235998,-0.95521628429431,0.5060202034116003,-0.018066425985717043,0.4403873270399044,-0.0634106504876739
gamma,-0.024814371668060723,-0.1513202129217413,-0.6847302121755757,1.0,0.03546336693049802,0.03573708613753212,-0.6973996228487395,0.5583385286124556,-0.4853754207747163,0.02715379626954382,-0.5099026728394177,0.06426960861783136
1/r^3,0.04445341325607137,-0.07386551772092788,-0.036596498952197194,0.03546336693049802,0.9999999999999998,0.9970720612022423,-0.037459312417855876,0.02773300748451086,-0.02313079466669208,0.37074264220433484,-0.07427051992672466,0.00045383248264985757
1/r^2,0.049114984286531244,-0.08135370350992972,-0.03580894237445471,0.03573708613753212,0.9970720612022423,1.0,-0.036599414852658906,0.02720472165354438,-0.024682107668101468,0.3961720825015347,-0.07531595494934187,0.00024497303054913234
sin(hue),-0.03166082413212724,-0.026547254258537874,0.9989178631235998,-0.6973996228487395,-0.037459312417855876,-0.03659941485265891,1.0,-0.9407245831366563,0.4979617733035011,-0.01953713626633273,0.45857303982409914,-0.06667717534256384
cos(hue),0.05385955264475971,0.017706331441917175,-0.95521628429431,0.5583385286124556,0.02773300748451086,0.02720472165354438,-0.9407245831366564,0.9999999999999998,-0.5284622688689373,0.0053421743515632844,-0.27228372112032023,0.04273021633322102
m0/gamma,-0.0451920369469059,0.1822242082488955,0.5060202034116003,-0.4853754207747163,-0.023130794666692083,-0.024682107668101468,0.4979617733035011,-0.5284622688689373,0.9999999999999999,0.0015554226731969753,0.14689461759043645,-0.009538921701786779
x/r^3,-0.009342389985339629,0.016347646380815782,-0.01806642598571704,0.027153796269543822,0.37074264220433484,0.39617208250153463,-0.01953713626633273,0.0053421743515632844,0.0015554226731969753,1.0,-0.08062499190110099,0.0007390716564543247
K_sync,-0.2042360821460884,0.20168908255632595,0.4403873270399044,-0.5099026728394178,-0.07427051992672466,-0.07531595494934189,0.4585730398240992,-0.27228372112032023,0.14689461759043645,-0.08062499190110099,1.0,-0.03347373524378344
F_pauli_x,-0.01209416036507027,0.016614965404422765,-0.0634106504876739,0.06426960861783136,0.0004538324826498576,0.00024497303054913234,-0.06667717534256384,0.042730216333221015,-0.009538921701786779,0.0007390716564543247,-0.03347373524378344,1.0
