Feature,x,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,K_sync,F_pauli_x
x,1.0,-0.9952418053601879,-0.1839333516513138,0.030482225991002705,0.09784262612411405,0.09278514662571286,-0.1934189826444132,0.11236449120533636,0.020215037864637363,0.0633086001050433,-0.19330238102303154,-0.015795454071964213
r,-0.995241805360188,1.0,0.21227852919950024,-0.051335701378020855,-0.10207321940617232,-0.09675986431236552,0.22132281577409238,-0.14351673462420128,0.012709721698705921,-0.065519390644261,0.2228434979846516,0.017713715232573028
hue,-0.1839333516513138,0.21227852919950024,1.0,-0.5586008100847324,-0.061019559394602595,-0.0545323870298286,0.9996336605214968,-0.9657223665849334,0.14941747392117188,-0.02909781200318583,0.9887792453562608,0.021921592074046946
gamma,0.030482225991002705,-0.051335701378020855,-0.5586008100847324,1.0,-0.05342083897515525,-0.05040561571106647,-0.5684351253105209,0.4321631533695849,-0.4132724538845678,-0.03337160978815163,-0.49637046672184526,0.011011063815863684
1/r^3,0.09784262612411405,-0.10207321940617232,-0.061019559394602595,-0.05342083897515526,1.0,0.9635146446418227,-0.06198204424653686,0.04983180210260091,0.013445460155290283,0.38152973791605965,-0.06295822200716537,0.001336923189921869
1/r^2,0.09278514662571286,-0.09675986431236552,-0.0545323870298286,-0.05040561571106647,0.9635146446418226,1.0,-0.05541953859657781,0.04458326389198879,0.012401517142431186,0.1294209122367883,-0.05763963729664602,0.0012139948040262797
sin(hue),-0.19341898264441323,0.22132281577409238,0.9996336605214968,-0.5684351253105209,-0.06198204424653686,-0.05541953859657782,0.9999999999999999,-0.958444637677929,0.15197673557128097,-0.029882168528237447,0.9858137019273837,0.021678791951566564
cos(hue),0.11236449120533636,-0.14351673462420128,-0.9657223665849334,0.4321631533695849,0.04983180210260091,0.04458326389198879,-0.958444637677929,1.0,-0.11658349432287697,0.02010167864499576,-0.9825955343673632,-0.024353319437372553
m0/gamma,0.02021503786463736,0.01270972169870592,0.14941747392117188,-0.4132724538845678,0.013445460155290283,0.012401517142431186,0.15197673557128097,-0.11658349432287698,1.0,0.007725526106315179,0.13234946304650105,-0.012907653977692873
x/r^3,0.0633086001050433,-0.06551939064426099,-0.029097812003185827,-0.03337160978815163,0.3815297379160597,0.12942091223678834,-0.029882168528237447,0.02010167864499576,0.00772552610631518,1.0,-0.024716861935748766,0.000963437417127914
K_sync,-0.19330238102303152,0.22284349798465164,0.9887792453562608,-0.4963704667218453,-0.06295822200716537,-0.05763963729664603,0.9858137019273838,-0.9825955343673632,0.13234946304650105,-0.024716861935748763,1.0,0.024163954439370413
F_pauli_x,-0.015795454071964213,0.017713715232573028,0.021921592074046942,0.011011063815863684,0.0013369231899218689,0.0012139948040262797,0.02167879195156656,-0.024353319437372553,-0.012907653977692873,0.0009634374171279138,0.02416395443937041,1.0
