Feature,x,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,K_sync,F_pauli_x
x,1.0,0.5415526768337308,0.7633630508732641,-0.6842958934039121,-0.02431672340338713,-0.019331816767260507,-0.3395394860927038,-0.8007653090214052,0.6110424705958349,0.010101645957949223,-0.11453693874775739,-0.029267777716477518
r,0.5415526768337308,0.9999999999999999,0.5005041746111878,-0.18309082517940536,-0.06586788549120075,-0.05246621132604069,-0.47051850437070786,-0.5303628541133119,0.3001156301529697,0.025326291766810286,-0.28230423470492194,-0.030523991823754478
hue,0.763363050873264,0.5005041746111879,1.0,-0.5549530190613459,0.04117945342455996,0.05389416375008403,-0.7118096574470252,-0.7374232075694263,0.3851052407666289,0.05789379670752956,-0.5237175456667325,-0.022819557798832938
gamma,-0.6842958934039121,-0.18309082517940536,-0.5549530190613459,1.0,-0.011999503881040516,-0.014829523534778666,0.014237970513631303,0.6047974073960888,-0.7546073387931623,-0.01678067080970051,-0.1279414258836945,0.029225335380823888
1/r^3,-0.024316723403387135,-0.06586788549120075,0.04117945342455996,-0.011999503881040516,0.9999999999999998,0.9683669702558948,-0.04812386743600926,0.021442309961896847,-0.009022349158388315,0.16221464632238525,-0.06188175326264578,-0.00023805603386936895
1/r^2,-0.019331816767260507,-0.05246621132604069,0.05389416375008404,-0.014829523534778668,0.9683669702558949,1.0,-0.05131944704611194,0.0102780942083262,-0.0001549214403377344,0.39761814927011546,-0.06257804971871136,0.00017966693366998173
sin(hue),-0.3395394860927038,-0.47051850437070786,-0.7118096574470252,0.014237970513631303,-0.04812386743600926,-0.05131944704611194,1.0,0.2165235922323111,0.09642536287637762,-0.021261396205965167,0.9472540678888605,0.0068137962779845655
cos(hue),-0.8007653090214052,-0.5303628541133119,-0.7374232075694263,0.6047974073960888,0.021442309961896847,0.010278094208326202,0.2165235922323111,0.9999999999999999,-0.5443169888964081,-0.033323254662011144,-0.0944875287682708,0.02470485712539387
m0/gamma,0.6110424705958349,0.3001156301529697,0.38510524076662894,-0.7546073387931624,-0.009022349158388317,-0.0001549214403377344,0.09642536287637764,-0.5443169888964081,1.0,0.03471727592241789,0.24465807478170487,-0.020803661712658007
x/r^3,0.010101645957949223,0.025326291766810286,0.05789379670752955,-0.01678067080970051,0.16221464632238522,0.3976181492701154,-0.021261396205965167,-0.033323254662011144,0.03471727592241789,1.0,-0.017224773188369093,-0.006787532701241663
K_sync,-0.1145369387477574,-0.2823042347049219,-0.5237175456667325,-0.1279414258836945,-0.061881753262645785,-0.06257804971871136,0.9472540678888606,-0.0944875287682708,0.24465807478170487,-0.017224773188369093,1.0,0.00018082847163688003
F_pauli_x,-0.029267777716477518,-0.030523991823754478,-0.022819557798832938,0.029225335380823888,-0.00023805603386936898,0.00017966693366998173,0.0068137962779845655,0.02470485712539387,-0.020803661712658003,-0.006787532701241663,0.00018082847163688003,1.0
