Feature,x,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,K_sync,F_pauli_x
x,1.0,0.3937250708925412,0.7520226874822455,-0.7161728809297598,-0.02537830068756223,-0.0241729846756362,-0.30944222902012664,-0.787920062782675,0.7031883381422717,0.02248186363687001,-0.1039254640982055,-0.0031409788688137805
r,0.3937250708925412,1.0,0.43385079174196767,-0.12684162419384754,-0.07883446108494044,-0.07508395293886856,-0.4753762499744808,-0.460036202486441,0.30131961254239575,0.06874864844544955,-0.30178463968915575,-0.004940689379263437
hue,0.7520226874822457,0.4338507917419677,1.0,-0.5880223150805007,-0.04638023444439285,-0.043035366300653514,-0.6976272007985771,-0.6566738723386443,0.548907707094873,0.060011163601984205,-0.5408109793330417,0.024737962984697277
gamma,-0.7161728809297597,-0.12684162419384754,-0.5880223150805007,1.0,0.022292516775752336,0.025343818484978714,0.051914437461800134,0.6043234482547595,-0.7913381715044908,-0.024316703840694977,-0.07258837513199305,0.005804186643692166
1/r^3,-0.02537830068756223,-0.07883446108494044,-0.04638023444439285,0.022292516775752336,1.0,0.9410634028553673,0.011616863091652446,0.05317792701565949,-0.05258168589867323,-0.9605852794863107,-0.003180224278532946,-0.027911586491599295
1/r^2,-0.0241729846756362,-0.07508395293886856,-0.043035366300653514,0.025343818484978714,0.9410634028553674,0.9999999999999999,0.01403056622015564,0.04973355279004161,-0.05178569542420018,-0.8437743071928473,-0.0007905667979977514,-0.0364114001456988
sin(hue),-0.3094422290201266,-0.4753762499744808,-0.697627200798577,0.05191443746180013,0.011616863091652446,0.01403056622015564,1.0,0.12903495539051626,-0.12235715794481504,-0.0185579527805226,0.9516618201357142,-0.039123748035527484
cos(hue),-0.787920062782675,-0.460036202486441,-0.6566738723386444,0.6043234482547596,0.05317792701565949,0.04973355279004161,0.12903495539051626,1.0,-0.6004801270641364,-0.05073466554216562,-0.16468189269653563,0.008467692532363883
m0/gamma,0.7031883381422717,0.30131961254239575,0.5489077070948731,-0.7913381715044908,-0.05258168589867323,-0.05178569542420018,-0.12235715794481504,-0.6004801270641364,1.0,0.05446780230319794,0.025241516270564354,-0.016401605263486583
x/r^3,0.02248186363687001,0.06874864844544955,0.060011163601984205,-0.024316703840694977,-0.9605852794863107,-0.8437743071928472,-0.0185579527805226,-0.050734665542165616,0.05446780230319794,1.0,-0.007029506007074927,0.02079864161728571
K_sync,-0.1039254640982055,-0.30178463968915575,-0.5408109793330417,-0.07258837513199305,-0.0031802242785329456,-0.0007905667979977515,0.9516618201357142,-0.16468189269653563,0.02524151627056435,-0.007029506007074927,1.0,-0.04180052298198666
F_pauli_x,-0.00314097886881378,-0.004940689379263437,0.024737962984697277,0.005804186643692165,-0.027911586491599295,-0.036411400145698804,-0.03912374803552748,0.008467692532363881,-0.016401605263486583,0.02079864161728571,-0.04180052298198665,1.0
