Feature,x,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,K_sync,F_pauli_x
x,1.0,0.4138463984826849,0.7727698905138137,-0.7168769784941549,-0.02492116855434031,-0.01687355813838571,-0.3738924236704836,-0.7200215238274625,0.7117306448644806,0.026311905169986532,-0.14634301747951273,0.01726246867732214
r,0.41384639848268495,1.0,0.52637448880335,-0.1563610628154191,-0.07857765384610618,-0.053404243390138176,-0.6692338750365435,-0.44529770577151395,0.3382596645910762,0.08058717971676882,-0.4619621320480924,0.01001398742890501
hue,0.7727698905138137,0.52637448880335,1.0,-0.5906860754906096,-0.03361747933111374,-0.020645751216262716,-0.5711548220717689,-0.48201730186464714,0.6662825980032736,0.041435006538282554,-0.4853347094904269,-0.027212445085029496
gamma,-0.716876978494155,-0.1563610628154191,-0.5906860754906096,1.0,-0.0005102290376422186,-0.0011414297714351998,0.027407197827590237,0.5619076469524291,-0.799352968806428,-0.005946463709608675,-0.10825392198400932,-0.03877562603644729
1/r^3,-0.024921168554340307,-0.07857765384610618,-0.03361747933111374,-0.0005102290376422185,0.9999999999999998,0.9270683175318373,0.04180330781875184,0.031551629419047836,-0.037915331373666844,-0.3809305205817819,0.027076256139874216,0.004528515939559932
1/r^2,-0.01687355813838571,-0.05340424339013817,-0.020645751216262716,-0.0011414297714351998,0.9270683175318373,1.0,0.033482450777623324,0.018235047054577735,-0.02697923250415061,-0.01376411913184281,0.024152312469347733,0.0028902707720443537
sin(hue),-0.3738924236704836,-0.6692338750365435,-0.5711548220717689,0.027407197827590237,0.04180330781875184,0.033482450777623324,1.0,0.19282907187726775,-0.19064075341940598,-0.026650686107256866,0.8938419349696648,0.02130665069668849
cos(hue),-0.7200215238274625,-0.445297705771514,-0.48201730186464714,0.5619076469524291,0.031551629419047836,0.01823504705457774,0.19282907187726775,1.0,-0.5903721626999181,-0.042187532784468657,-0.22959266284583416,-0.045206264694060964
m0/gamma,0.7117306448644806,0.33825966459107626,0.6662825980032736,-0.7993529688064281,-0.037915331373666844,-0.02697923250415061,-0.190640753419406,-0.5903721626999181,1.0,0.039465636189122084,-0.027431918144641857,0.0274709841637961
x/r^3,0.026311905169986535,0.08058717971676882,0.04143500653828255,-0.005946463709608675,-0.3809305205817819,-0.013764119131842808,-0.026650686107256866,-0.042187532784468657,0.039465636189122084,1.0,-0.009787804374871508,-0.004751576464601098
K_sync,-0.14634301747951273,-0.4619621320480924,-0.4853347094904269,-0.10825392198400934,0.027076256139874216,0.02415231246934773,0.8938419349696649,-0.22959266284583413,-0.02743191814464186,-0.009787804374871508,0.9999999999999999,0.04710875589368457
F_pauli_x,0.017262468677322135,0.01001398742890501,-0.027212445085029496,-0.0387756260364473,0.004528515939559932,0.0028902707720443537,0.02130665069668849,-0.045206264694060964,0.027470984163796095,-0.004751576464601098,0.04710875589368457,1.0
