Feature,x,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,K_sync,F_pauli_x
x,1.0,0.5327780449083473,0.7548847273005248,-0.7155386328194071,-0.03964299907154074,-0.05465245404680932,-0.25199044172649526,-0.8421659950067523,0.6296330424787707,0.018080636577659147,0.009880867258940397,0.009174183900088796
r,0.5327780449083473,1.0,0.548036589956304,-0.23790489417273664,-0.1097660973007098,-0.15087225305178084,-0.443821083200489,-0.6935213716458742,0.29866331579312916,0.04557164553314526,-0.15104489257029707,-0.009169813735181836
hue,0.7548847273005248,0.548036589956304,1.0,-0.5829187490501619,-0.06666104338084428,-0.08876616882392342,-0.6648412002109026,-0.5420609593629265,0.5896874023908978,0.032516153329407646,-0.5166867807994795,-0.020783362632557752
gamma,-0.7155386328194071,-0.2379048941727366,-0.5829187490501619,1.0,0.02250971726129488,0.026037644214077404,0.028370704217627267,0.548310875170514,-0.7748565098491731,-0.02123552952030109,-0.0869145329904027,-0.010541484285166351
1/r^3,-0.03964299907154074,-0.1097660973007098,-0.06666104338084428,0.02250971726129488,0.9999999999999999,0.9819328550039365,0.0021527908785737935,0.06766809723522119,-0.06118714459661943,-0.8651529737825474,-0.0145541972713417,0.0012492370050018343
1/r^2,-0.05465245404680932,-0.15087225305178084,-0.08876616882392342,0.0260376442140774,0.9819328550039365,1.0,0.012257658119317316,0.0903784558774568,-0.0699821113215226,-0.7914279824504316,-0.012264243357450124,0.002399640905520513
sin(hue),-0.25199044172649526,-0.4438210832004891,-0.6648412002109026,0.028370704217627263,0.0021527908785737935,0.012257658119317316,1.0,0.056962560097512126,-0.16765557508239892,0.011330632758247614,0.9268331812344955,0.006534563958442195
cos(hue),-0.8421659950067524,-0.693521371645874,-0.5420609593629265,0.548310875170514,0.06766809723522119,0.0903784558774568,0.05696256009751212,1.0,-0.45703137282079015,-0.03286318231514678,-0.29473545644001614,0.007343140562398698
m0/gamma,0.6296330424787707,0.29866331579312916,0.5896874023908979,-0.7748565098491731,-0.061187144596619426,-0.0699821113215226,-0.16765557508239895,-0.4570313728207901,0.9999999999999999,0.04917278221361864,-0.06231471989218197,0.05445973523197293
x/r^3,0.018080636577659147,0.04557164553314526,0.032516153329407646,-0.02123552952030109,-0.8651529737825474,-0.7914279824504316,0.011330632758247614,-0.03286318231514678,0.04917278221361865,1.0,0.016603724890194946,0.0010021055369049622
K_sync,0.009880867258940397,-0.15104489257029707,-0.5166867807994795,-0.08691453299040271,-0.0145541972713417,-0.012264243357450126,0.9268331812344957,-0.2947354564400162,-0.06231471989218197,0.016603724890194946,0.9999999999999999,0.006584568277789932
F_pauli_x,0.009174183900088794,-0.009169813735181834,-0.020783362632557752,-0.010541484285166351,0.001249237005001834,0.002399640905520513,0.006534563958442194,0.007343140562398698,0.054459735231972936,0.0010021055369049622,0.0065845682777899315,0.9999999999999999
